Type,Relateret produkt nummer,Varenummer,Produktnavn,Indskriv varianter adskilt med komma,Farve,Str.,Smagsvariant,Kort beskrivelse,Lang beskrivelse,vægt,Pris,Special pris,kategori
config,,2015-kildemoes-logic-flow-7gear-herre-config,2015 Kildemoes Logic Flow 7 Gear,,,,,Smart sportscykel med indvendige gear og rullebremser,"Logic Flow har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM31 Rullebremse for og bag, X3 dæk 700x28c.",10kg,"5,499.00",,"HERRE, Sportscykler"
simple,2015-kildemoes-logic-flow-7gear-herre-config,YKK3275501,2015 Kildemoes Logic Flow 7 Gear,"str, farve",Soft Black,55,,Smart sportscykel med indvendige gear og rullebremser,"Logic Flow har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM31 Rullebremse for og bag, X3 dæk 700x28c.",10kg,"5,499.00",,
simple,2015-kildemoes-logic-flow-7gear-herre-config,YKK3275901,2015 Kildemoes Logic Flow 7 Gear,"str, farve",Soft Black,59,,Smart sportscykel med indvendige gear og rullebremser,"Logic Flow har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM31 Rullebremse for og bag, X3 dæk 700x28c.",10kg,"5,499.00",,
simple,2015-kildemoes-logic-flow-7gear-herre-config,YKK3276201,2015 Kildemoes Logic Flow 7 Gear,"str, farve",Soft Black,62,,Smart sportscykel med indvendige gear og rullebremser,"Logic Flow har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM31 Rullebremse for og bag, X3 dæk 700x28c.",10kg,"5,499.00",,
simple,2015-kildemoes-logic-flow-7gear-herre-config,YKK3275502,2015 Kildemoes Logic Flow 7 Gear,"str, farve",Platinum Matt,55,,Smart sportscykel med indvendige gear og rullebremser,"Logic Flow har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM31 Rullebremse for og bag, X3 dæk 700x28c.",10kg,"5,499.00",,
simple,2015-kildemoes-logic-flow-7gear-herre-config,YKK3275902,2015 Kildemoes Logic Flow 7 Gear,"str, farve",Platinum Matt,59,,Smart sportscykel med indvendige gear og rullebremser,"Logic Flow har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM31 Rullebremse for og bag, X3 dæk 700x28c.",10kg,"5,499.00",,
config,,2015-kildemoes-logic-flow-7gear-dame-config,2015 Kildemoes Logic Flow 7 Gear,,,,,Smart sportscykel med indvendige gear og rullebremser,"Logic Flow har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM31 Rullebremse for og bag, X3 dæk 700x28c.",10kg,"5,499.00",,"DAME, Sportscykler"
simple,2015-kildemoes-logic-flow-7gear-dame-config,YKK3374701,2015 Kildemoes Logic Flow 7 Gear,"str, farve",Soft Black,47,,Smart sportscykel med indvendige gear og rullebremser,"Logic Flow har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM31 Rullebremse for og bag, X3 dæk 700x28c.",10kg,"5,499.00",,
simple,2015-kildemoes-logic-flow-7gear-dame-config,YKK3375101,2015 Kildemoes Logic Flow 7 Gear,"str, farve",Soft Black,51,,Smart sportscykel med indvendige gear og rullebremser,"Logic Flow har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM31 Rullebremse for og bag, X3 dæk 700x28c.",10kg,"5,499.00",,
simple,2015-kildemoes-logic-flow-7gear-dame-config,YKK3375501,2015 Kildemoes Logic Flow 7 Gear,"str, farve",Soft Black,55,,Smart sportscykel med indvendige gear og rullebremser,"Logic Flow har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM31 Rullebremse for og bag, X3 dæk 700x28c.",10kg,"5,499.00",,
simple,2015-kildemoes-logic-flow-7gear-dame-config,YKK3375102,2015 Kildemoes Logic Flow 7 Gear,"str, farve",Blue Grass Matt,51,,Smart sportscykel med indvendige gear og rullebremser,"Logic Flow har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM31 Rullebremse for og bag, X3 dæk 700x28c.",10kg,"5,499.00",,
simple,2015-kildemoes-logic-flow-7gear-dame-config,YKK3375502,2015 Kildemoes Logic Flow 7 Gear,"str, farve",Blue Grass Matt,55,,Smart sportscykel med indvendige gear og rullebremser,"Logic Flow har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM31 Rullebremse for og bag, X3 dæk 700x28c.",10kg,"5,499.00",,
config,,2015-kildemoes-logic-sport-7gear-herre-config,2015 Kildemoes Logic Sport 7 Gear,,,,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,"HERRE, Sportscykler"
simple,2015-kildemoes-logic-sport-7gear-herre-config,YKK3475101,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Crystal Black Matt,51,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-7gear-herre-config,YKK3475501,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Crystal Black Matt,55,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-7gear-herre-config,YKK3475901,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Crystal Black Matt,59,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-7gear-herre-config,YKK3476201,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Crystal Black Matt,62,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
